date,title,short_description,article_link,image,byline,alt,outlet
2020-01-22 16:35:00-05:00,Fun eBay finds for the average cost of a new car in America,Why not have a little fun?,https://www.autoblog.com/photos/ebay-finds-for-the-cost-of-an-average-car-in-america/,https://s.aolcdn.com/os/ab/_cms/2020/01/22161326/trans-am-lead1.jpg,Jeremy Korzeniewski,image not found,Autoblog
2020-01-22 14:38:00-05:00,"Mercedes-Benz E-Class getting tech, visual updates for 2021",The E is getting smarter and more efficient,https://www.autoblog.com/2020/01/22/mercedes-benz-eclass-updates/,https://s.blogcdn.com/slideshows/images/slides/750/647/4/S7506474/slug/l/mercedes-benz-e-class-spy-photos-1.jpg,Ronan Glon,image not found,Autoblog
2020-01-22 11:20:00-05:00,Will Smith takes unexpecting Lyfters for a spin in a Porsche Taycan,'Bad Boys for Life' is out now,https://www.autoblog.com/2020/01/22/will-smith-lyft-driver-bad-boys/,https://s.aolcdn.com/os/ab/_cms/2020/01/22093819/will-smith-porsche-taycan.jpg,Tony Markovich,image not found,Autoblog
2020-01-22 10:03:00-05:00,Electric BMW i4 seems headed to Geneva as a thinly veiled concept,The next 4 Series might not bask under the bright lights after all,https://www.autoblog.com/2020/01/22/bmw-i4-ev-geneva-motor-show/,https://s.aolcdn.com/os/ab/_cms/2019/11/18084100/bmw_i4_andedrive_technology_001.jpg,Ronan Glon,image not found,Autoblog
2020-01-22 09:40:00-05:00,Tesla market value tops $100 billion,"More of this, and a big payday looms for Elon Musk",https://www.autoblog.com/2020/01/22/tesla-market-value-100-billion/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2019-01/5b231100-18db-11e9-896f-861ff3a8a338,Reuters,image not found,Autoblog
2020-01-21 21:46:00-05:00,Cruise Origin is GM's autonomous shared car of the future,No release date and few details,https://www.autoblog.com/2020/01/21/cruise-automation-origin-autonomous-car-sharing-system/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2020-01/3fb2d260-3cc1-11ea-a8df-1f62fd5ad290,Joel Stocksdale,image not found,Autoblog
2020-01-21 10:34:00-05:00,"Amazon pledges 10,000 electric delivery rickshaws starting this year",Anything to speed up the machine,https://www.autoblog.com/2020/01/21/amazon-pledges-10000-electric-delivery-rickshaws-for-india-by-2025/,https://s.aolcdn.com/os/ab/_cms/2020/01/21085551/bezos-india-electric-rickshaw.jpg,Tony Markovich,image not found,Autoblog
2020-01-21 10:05:00-05:00,VW's ID.4 electric crossover will debut at the New York Auto Show in April,It will launch Volkswagen's electric offensive here in the United States,https://www.autoblog.com/2020/01/21/vw-id4-electric-crossover-new-york-auto-show-debut/,https://s.aolcdn.com/os/ab/_cms/2019/11/01093948/VW-ID.4-disguised.jpg,Jeremy Korzeniewski,image not found,Autoblog
2020-01-21 09:30:00-05:00,"Tesla rebuffs NHTSA, says it has no unintended acceleration problem",Tesla says petition citing 110 crashes is 'completely false' from a short-seller,https://www.autoblog.com/2020/01/21/tesla-response-nhtsa-unintended-acceleration/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2020-01/8ef02f10-3c5a-11ea-8cfe-c4a4d4258063,Reuters,image not found,Autoblog
2020-01-21 09:05:00-05:00,Spain declares climate emergency as it readies environmental plan,The plan foresees eliminating pollution by buses and trucks,https://www.autoblog.com/2020/01/21/spain-climate-emergency-plan/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2020-01/d1848810-3c52-11ea-bf57-454aef5b159b,Associated Press,image not found,Autoblog
2020-01-21 08:34:00-05:00,GM's Cruise will tease its first autonomous vehicle Tuesday,Our only hint so far is that it won't be a car,https://www.autoblog.com/2020/01/21/cruise-mobility-vehicle-definition/,https://s.aolcdn.com/os/ab/_cms/2019/12/21142514/2019-gm-cruise-av-001-1.jpg,Byron Hurd,image not found,Autoblog
2020-01-21 08:10:00-05:00,Tesla city car sketched for a recruitment ad in China,California company wants to put Chinese thought into Chinese cars,https://www.autoblog.com/2020/01/21/tesla-city-car-china-design-center/,https://s.aolcdn.com/os/ab/_cms/2020/01/20161526/tesla1.jpg,Jonathon Ramsey,image not found,Autoblog
2020-01-20 14:40:00-05:00,Hyperion Motors hydrogen fuel cell hypercar headed to the New York Auto Show,Nine-year-old California company finally ready to debut a product,https://www.autoblog.com/2020/01/20/hyperion-motors-hydrogen-fcv-hypercar-new-york-auto-show/,https://s.aolcdn.com/os/ab/_cms/2020/01/20135030/hyperion_motors_hypercar_nyias_001.jpg,Jonathon Ramsey,image not found,Autoblog
2020-01-20 14:00:00-05:00,Sono Motors says it has raised $55.42 million for solar powered car,The Sion also features dashboard moss,https://www.autoblog.com/2020/01/20/sono-motors-sion-solar-car-crowdfunding-campaing/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2020-01/8d8e4bd0-3baf-11ea-aee7-a6aa907c2e1f,Reuters,image not found,Autoblog
2020-01-20 12:30:00-05:00,Cruise calls for a new way to determine commercial readiness of self-driving cars,Focusing on disengagement numbers is 'woefully inadequate for most uses',https://www.autoblog.com/2020/01/20/cruise-autonomous-cars-disengagement-myth/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2020-01/b618a410-3970-11ea-afd7-78fc2104beb5,TechCrunch,image not found,Autoblog
2020-01-20 11:06:00-05:00,VW ID.R and McLaren Speedtail headline 'Top Gear' season 28,The debut episode airs January 26,https://www.autoblog.com/2020/01/20/top-gear-season-28-previewed/,https://s.aolcdn.com/os/ab/_cms/2020/01/20095606/volkswagen-id.R.png,Tony Markovich,image not found,Autoblog
2020-01-20 10:03:00-05:00,Subaru plans to electrify entire range by the middle of the 2030s,Hybrids and EVs will represent 40% of its output by 2030,https://www.autoblog.com/2020/01/20/subaru-wants-all-electric-cars-by-2030/,https://s.aolcdn.com/os/ab/_cms/2019/10/24182647/subaru_wrx_sti_ej20_final_edition_001.jpg,Ronan Glon,image not found,Autoblog
2020-01-20 09:17:00-05:00,Hybrid tech to headline Land Rover Discovery's mid-cycle update,"48-volt tech is in the pipeline, and a plug-in system could arrive later",https://www.autoblog.com/2020/01/20/land-rover-discovery-will-add-hybrid/,https://s.aolcdn.com/os/ab/_cms/2020/01/20085455/land-rover-discovery-120.jpg,Ronan Glon,image not found,Autoblog
2020-01-20 08:30:00-05:00,U.K. government opens trial for wirelessly charged taxis,The UK government is investing $4.43 million in a six-month trial,https://www.autoblog.com/2020/01/20/uk-taxi-wireless-charging-electric/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2020-01/b9e1eb70-394c-11ea-bfb7-cb7fde948e7b,Engadget,image not found,Autoblog
2020-01-20 08:10:00-05:00,Lyft?s autonomous vehicle partner Magna is done with self-driving tech,The auto parts maker plans to focus on assisted driving,https://www.autoblog.com/2020/01/20/lyft-magna-autonomous/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2020-01/63e73b80-3965-11ea-bafb-850ef08e75e4,Engadget,image not found,Autoblog
2020-01-19 12:30:00-05:00,Volkswagen to buy 20% of Chinese battery maker Guoxuan amid electric push,Supports VW's electric push into world's largest auto market,https://www.autoblog.com/2020/01/19/vw-china-battery-maker-investment-guoxuan/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2020-01/a0673cc0-3962-11ea-b1ff-71fcbf0531de,Reuters,image not found,Autoblog
2020-01-19 10:49:00-05:00,Police detain 185 climate protesters at Brussels Motor Show,Extinction Rebellion said it targeted an auto industry that told 'a lot of lies in order to sell more cars',https://www.autoblog.com/2020/01/19/brussels-motor-show-protest-extinction-rebellion/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2020-01/e3eaa3d0-3ad2-11ea-b3ad-9a3434e17b19,Reuters,image not found,Autoblog
2020-01-18 10:00:00-05:00,General Motors has tried to cast Hummer in a greener light before,The irony of electrifying a Hummer has fueled more than a few projects,https://www.autoblog.com/2020/01/18/weekend-general-motors-has-tried-to-cast-hummer-in-a-greener-light-before/,https://s.aolcdn.com/os/ab/_cms/2020/01/17041731/hummer-h2h-2004-2.jpg,Ronan Glon,image not found,Autoblog
2020-01-18 09:30:00-05:00,Big Oil getting involved in Formula E racing,"For one thing, there's a need for 'E fluids'",https://www.autoblog.com/2020/01/18/oil-companies-formula-e-electric-racing/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2020-01/97ddccb0-396f-11ea-bfe5-9a61b501e9b9,Reuters,image not found,Autoblog
2020-01-17 17:20:00-05:00,Owners say Tesla is holding them to unintentional (and non-refundable) in-app purchases,Tesla owners say they've spent thousands on non-refundable upgrades with what amounts to a butt-dial,https://www.autoblog.com/2020/01/17/tesla-in-app-purchases/,https://s.aolcdn.com/os/ab/_cms/2020/01/17164837/tesla-mobile-app.jpg,Byron Hurd,image not found,Autoblog
2020-01-17 13:33:00-05:00,"Bronco, Yukon, Hummer and a CES recap | Autoblog Podcast #610","Plus Mini JCW Clubman, Camry Hybrid, Subaru Forester and Volvo S60 PHEV",https://www.autoblog.com/2020/01/17/podcast-ford-bronco-gmc-yukon-hummer-electric-ces/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2020-01/ed14b590-37e4-11ea-bc7e-57f8a2c2ac42,Autoblog Staff,image not found,Autoblog
2020-01-17 11:32:00-05:00,Michael Bloomberg would require all new cars to be EVs by 2035,Goals for vehicles and buildings are less ambitious than some,https://www.autoblog.com/2020/01/17/michael-bloomberg-clean-cars-buildings-plan/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2020-01/cfac9730-3946-11ea-89ff-b49a1a017d98,Associated Press,image not found,Autoblog
2020-01-17 11:13:00-05:00,"Audi competitively prices plug-in hybrid variants of Q5, A8",The Q5 TFSI e undercuts the SQ5 after incentives,https://www.autoblog.com/2020/01/17/audi-phev-q5-a8-prices/,https://s.aolcdn.com/os/ab/_cms/2019/10/07074926/2020-audi-q5-phev-1.jpg,Ronan Glon,image not found,Autoblog
2020-01-17 10:11:00-05:00,CEO says VW needs to change faster or risk going the way of Nokia,'The big question is: Are we fast enough?' Diess clearly thinks not,https://www.autoblog.com/2020/01/17/vw-nokia-ceo-herbert-diess/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2020-01/2b087650-393b-11ea-bee8-9a68d6af5b61,Reuters,image not found,Autoblog
2020-01-17 09:38:00-05:00,"NHTSA could investigate 500,000 Teslas for unintended acceleration",110 crashes and 52 injuries have been reported,https://www.autoblog.com/2020/01/17/nhtsa-investigation-tesla-unintended-acceleration-crashes/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2020-01/f36ebf00-3936-11ea-8f6b-a397d156ed5c,Reuters,image not found,Autoblog
2020-01-16 17:15:00-05:00,Hyundai and Kia invest $110 million in UK electric van startup Arrival,The vans will have a 300-mile range and cost the same as gasoline-powered alternatives,https://www.autoblog.com/2020/01/16/hyundai-kia-invest-arrival-electri-delivery-vans/,https://s.aolcdn.com/os/ab/_cms/2020/01/16164852/arrival-electric-delivery-van.jpg,Reuters,image not found,Autoblog
2020-01-16 16:05:00-05:00,Volvo will build new U.S. battery plant to help launch electric XC90,The next-gen SUV is expected to launch in 2022,https://www.autoblog.com/2020/01/16/volvo-us-ev-battery-plant-xc90/,https://s.aolcdn.com/os/ab/_cms/2019/08/26132842/XC90-0543.jpg,Sven Gustafson,image not found,Autoblog
2020-01-16 14:46:00-05:00,FCA and iPhone maker plan Chinese electric vehicle joint venture,Hon Hai parent Foxconn assembles iPhone,https://www.autoblog.com/2020/01/16/fca-foxconn-hon-hai-ev-joint-venture-china/,https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-images/2019-09/7df9eb70-dead-11e9-b6ff-2e857f52dfb7,Reuters,image not found,Autoblog
