date,title,short_description,article_link,image,byline,alt,outlet
2020-06-19 00:00:00,AEM EV releases VCU200 Vehicle Control Unit,"AEM EV has released a new addition to its line of vehicle control units. Built on OEM hardware, AEM’s VCUs are intended for high-performance EV street-conversion and motorsports applications. They are designed to allow the calibrator to create customized torque management strategies applicable to a range of EV systems.  In its default configuration, the new…",https://chargedevs.com/newswire/aem-ev-releases-vcu200-vehicle-control-unit/,https://468y981o84o43v2wo2600a0gcj-wpengine.netdna-ssl.com/wp-content/uploads/2020/06/AEM-EV-Releases-VCU200-Vehicle-Control-Unit-300x300.jpg,Tom Lombardo,Image not found,Charged EVs
2020-06-19 00:00:00,Formula E to resume live racing in August with six-race championship series,"Formula E, which was forced to suspend its season due to the corona crisis, will resume racing in August, at Berlin’s Tempelhof Airport. A series of six races in nine days will decide the winner of the 2019/20 ABB FIA Formula E Championship. Each pair of races will use a different track configuration. Strict safety…",https://chargedevs.com/newswire/formula-e-to-resume-live-racing-in-august-with-six-race-championship-series/,https://468y981o84o43v2wo2600a0gcj-wpengine.netdna-ssl.com/wp-content/uploads/2018/12/Formula-E-begins-season-5-with-a-new-car-and-more-powerful-battery-pack-300x300.jpg,Charles Morris,Image not found,Charged EVs
2020-06-18 00:00:00,WAVE deploys wireless charging system at Oregon bus depot,"Wireless charging pioneer Wireless Advanced Vehicle Electrification (WAVE) has deployed its wireless charging system at a bus maintenance depot operated by Josephine Community Transit, which serves Josephine County, Oregon. The system will wirelessly charge two remanufactured Zero Emission Propulsion System (ZEPS) buses from Complete Coach Works. An additional two vehicles are scheduled to go into…",https://chargedevs.com/newswire/wave-deploys-wireless-charging-system-at-oregon-bus-depot/,https://468y981o84o43v2wo2600a0gcj-wpengine.netdna-ssl.com/wp-content/uploads/2020/06/wave--300x300.jpg,Charles Morris,Image not found,Charged EVs
2020-06-18 00:00:00,Tesla and Panasonic sign new three-year battery supply deal,"Lately it’s seemed that the relationship between Tesla and Panasonic might have hit a rocky patch. The two companies have been partners at Tesla’s Nevada Gigafactory since the beginning, but more recently, they’ve been seeing other people. Last year, Tesla said Panasonic’s battery cell production was constraining Model 3 production. In February, the carmaker announced…",https://chargedevs.com/newswire/tesla-and-panasonic-sign-new-three-year-battery-supply-deal/,https://468y981o84o43v2wo2600a0gcj-wpengine.netdna-ssl.com/wp-content/uploads/2019/01/Tesla-Batteries-18650-copy-300x300.jpg,Charles Morris,Image not found,Charged EVs
2020-06-18 00:00:00,"Watch out Europe, the Chinese are coming—and they’re driving EVs","China’s formidable auto industry has so far failed to find a foothold in the North American or European markets. Many industry observers believe that the country’s prominent push for electrification has little to do with concern about climate change, and much to do with the country’s quest for a seat at the top table of…",https://chargedevs.com/newswire/watch-out-europe-the-chinese-are-coming-and-theyre-driving-evs/,https://468y981o84o43v2wo2600a0gcj-wpengine.netdna-ssl.com/wp-content/uploads/2020/06/mg_-_zs_ev_-_press_kit_-_009-300x300.jpg,Charles Morris,Image not found,Charged EVs
2020-06-17 00:00:00,Ford Mustang Mach-E buyers to receive free fill-ups from Electrify America,"Ford has announced that buyers of its upcoming Mustang Mach-E will receive a little welcome-to-electric-driving present: 250 kWh of complimentary charging at Electrify America fast charging stations. This amounts to from three to five full charges, depending on battery size. Mustang Mach-E customers also get two years of free charging at stations participating in the…",https://chargedevs.com/newswire/ford-mustang-mach-e-buyers-to-receive-free-fill-ups-from-electrify-america/,https://468y981o84o43v2wo2600a0gcj-wpengine.netdna-ssl.com/wp-content/uploads/2020/06/Ford-Mustang-Mach-E-Customers-to-Receive-Up-to-Five-Complimentary-Fill-Ups-at-Electrify-America-Charging-Stations-437-300x300.jpg,Charles Morris,Image not found,Charged EVs
2020-06-17 00:00:00,Candela Seven electric boat’s hydrofoils reduce energy consumption by 80%,"An electric boat that can fly? Wow, has James Bond heard about this? The truth about the Candela Seven electric boat is a bit less exciting, but still pretty cool. The new EV can’t actually take to the sky, but it does rise above the water in order to decrease drag and increase range. Wing-shaped…",https://chargedevs.com/newswire/candela-seven-electric-boats-hydrofoils-reduce-energy-consumption-by-80/,https://468y981o84o43v2wo2600a0gcj-wpengine.netdna-ssl.com/wp-content/uploads/2020/06/Candela-Switzerland_16-300x300.jpg,Charles Morris,Image not found,Charged EVs
2020-06-17 00:00:00,ZF CeTrax electric drive goes into production,ZF has announced that the production of its CeTrax electric drive will start in the third quarter of 2020. CeTrax will be ZF’s second electric drive to go into volume production. Bus builder Solaris has chosen CeTrax to power its new Urbino 15 LE electric bus. “CeTrax is another building block on the way to…,https://chargedevs.com/newswire/zf-cetrax-electric-drive-goes-into-production/,https://468y981o84o43v2wo2600a0gcj-wpengine.netdna-ssl.com/wp-content/uploads/2020/06/2020-05-18_PI_ZF_CeTrax_Installation_01_2-2048px-300x300.jpg,Tom Lombardo,Image not found,Charged EVs
2020-06-17 00:00:00,Volkswagen begins selling ID. Charger in Europe,"Volkswagen has started deliveries of its ID. Charger, a wall-mounted Level 2 home charger, in eight European countries. The ID. Charger can be used to charge any EV with a Type 2 connector.  It can be ordered online or from Volkswagen dealers, at an introductory price of €399. VW is teaming up with certified electrical…",https://chargedevs.com/newswire/volkswagen-begins-selling-id-charger-in-europe/,https://468y981o84o43v2wo2600a0gcj-wpengine.netdna-ssl.com/wp-content/uploads/2020/06/Volkswagen-begins-selling-ID.-Charger-in-Europe-300x300.jpg,Charles Morris,Image not found,Charged EVs
2020-06-16 00:00:00,Webinar today: DC fast charging – vehicle-side thermal challenges,"OEMs have made remarkable improvements to the EV powertrain over recent years to extend range, reduce costs, and improve the driving experience. Another key item that will help drive greater consumer acceptance of full-electric vehicles is faster charging times. Progress in achieving 400 A+ and less than 30-minute charging has been slow due to limitations…",https://chargedevs.com/newswire/dc-fast-charging-a-thermal-challenge-new-webinar/,https://468y981o84o43v2wo2600a0gcj-wpengine.netdna-ssl.com/wp-content/uploads/2020/04/TE-webinar-3.2-300x300.jpg,Charged EVs,Image not found,Charged EVs
