date,title,short_description,article_link,image,byline,alt,outlet
2020-06-04 17:51:00,Vitesco picking up semiconductors from Rohm,Continental’s drive division Vitesco Technologies has selected Rohm Semiconductor as its preferred partner for silicon carbide power semiconductors. Vitesco Technologies will use Rohm’s SiC technologies to increase the efficiency of its power electronics for electric vehicles.,https://www.electrive.com/2020/06/04/vitecsto-picking-up-semiconductors-from-rohm/,https://www.electrive.com/wp-content/uploads/2020/06/vitesco-siliziumkarbid-leistungshalbleiter-silicon-carbide-power-semiconductors-2020-01-min.png,Author: Chris Randall,Image not found,electrive
2020-06-04 15:21:00,Sweden’s EV market share remains at 20%,"Despite the corona crisis and the resulting drop in car sales, the market share of BEV and PHEV in Sweden was again just over 20 per cent in May. The positive trend in plug-in sales is therefore continuing.",https://www.electrive.com/2020/06/04/swedens-ev-market-share-remains-at-20/,https://www.electrive.com/wp-content/uploads/2018/04/db-arriva-sweden-symbolic-picture.png,Author: Chris Randall,Image not found,electrive
2020-06-03 16:55:00,Mercedes taking orders for E-Class PHEVs,"Mercedes-Benz has started selling the model update of the E-Class as a sedan and as a station wagon. The new lineup also includes plug-in hybrid variants, of which there will be seven in the new E-Class.",https://www.electrive.com/2020/06/03/mercedes-taking-orders-for-e-class-phevs/,https://www.electrive.com/wp-content/uploads/2020/03/mercedes-benz-e-klasse-symbolbild-2020-01-min.png,Author: Carrie Hampel,Image not found,electrive
2020-06-03 16:35:00,"Norway registers 3,444 BEV in May","In Norway, 3,444 all-electric cars were registered in May, accounting for 43.1 per cent of all new passenger car registrations. With 610 units, the VW e-Golf was the most popular model across all drive types.",https://www.electrive.com/2020/06/03/norway-registers-3444-bev-in-may/,https://www.electrive.com/wp-content/uploads/2018/03/norwegen-flagge-norway.png,Author: Carrie Hampel,Image not found,electrive
2020-06-03 15:55:00,VW and Porsche rumoured to get new brand bosses,"According to German media reports, Volkswagen is preparing a personnel shuffle in its brand management boards. VW Group boss Herbert Diess, who also runs the VW brand, apparently wants to bring Porsche boss Oliver Blume to Wolfsburg.",https://www.electrive.com/2020/06/03/vw-and-porsch-rumoured-to-get-new-brand-bosses/,https://www.electrive.com/wp-content/uploads/2019/09/porsche-taycan-oliver-blume-min.png,Author: Carrie Hampel,Image not found,electrive
2020-06-03 15:01:00,Punch Powertrain & PSA form new joint venture,The PSA Group and the Belgian transmission manufacturer Punch Powertrain have signed an agreement to set up a second joint venture and expand their strategic partnership in the field of electrification. This will focus on transmissions for HEV and PHEVs – also for other manufacturers.,https://www.electrive.com/2020/06/03/punch-powertrain-psa-form-new-joint-venture/,https://www.electrive.com/wp-content/uploads/2020/06/punch-powertrain-dt2-getriebe-clutch-transmission-2020-01-min.png,Author: Carrie Hampel,Image not found,electrive
2020-06-02 17:10:00,Geely brand Geometry reveals second electric car for July,"After Geely presented its electric car brand Geometry and its first model Geometry A last year, the brand’s second model, the Geometry C, will be launched on the Chinese market in July.",https://www.electrive.com/2020/06/02/geely-brand-geometry-reveals-second-model-for-july/,https://www.electrive.com/wp-content/uploads/2020/06/geely-geometry-c-china-2020-01-min.png,Author: Carrie Hampel,Image not found,electrive
2020-06-02 14:10:00,Tesla starts digging at Giga-Berlin,"Now that Tesla received approval for foundation work from the Brandenburg State Office for the Environment, the work has now apparently begun in the usual rapid Tesla-tempo. A new drone video shows the first excavation works.",https://www.electrive.com/2020/06/02/tesla-starts-digging-at-giga-berlin/,https://www.electrive.com/wp-content/uploads/2019/08/tesla-gigafactory-2-2019-01.png,Author: Carrie Hampel,Image not found,electrive
2020-05-31 14:59:00,Audi announces taskforce for autonomous EVs,"Audi launched a new project called Artemis. The core of the project is the development of new technologies for electric, highly automated driving with a concrete reference to the model. The first step is now to “develop a pioneering model quickly and unbureaucratically”.",https://www.electrive.com/2020/05/31/audi-announces-taskforce-for-autonomous-evs/,https://www.electrive.com/wp-content/uploads/2017/11/audi-aicon-iaa-2017-07.png,Author: Chris Randall,Image not found,electrive
2020-05-31 13:40:00,USA: Toyota RAV4 PHEV to go on sale this summer,"Toyota announced the 2021 RAV4 Prime plug-in hybrid would hit the US market this summer. With a base price of $38,100, the SUV’s first plug-in version has up to 42 miles purely electric range, making it the highest electric range of any PHEV SUV out there.",https://www.electrive.com/2020/05/31/usa-hybrid-rav-4-to-go-on-sale-this-summer/,https://www.electrive.com/wp-content/uploads/2020/05/toyota-rav4-phev-2020-01-min.png,Author: Chris Randall,Image not found,electrive
