date,title,short_description,article_link,image,byline,alt,outlet
2020-01-22 00:00:00,Former Ford CEO Says Tesla Is An “Iconic Brand” With A Big Advantage In Software,Former Ford CEO Says Tesla Is An “Iconic Brand” With A Big Advantage In Software,https://evobsession.com/former-ford-ceo-says-tesla-is-an-iconic-brand-with-a-big-advantage-in-software/,https://i1.wp.com/evobsession.com/wp-content/uploads/2019/01/Tesla-Model-3-Model-S-red-line.jpg,by EV Expert,Image not found,EV Obsession
2020-01-15 00:00:00,Tesla Employee “Elon Asked Me If I Wanted To Take A Pic”,Tesla Employee “Elon Asked Me If I Wanted To Take A Pic”,https://evobsession.com/tesla-employee-elon-asked-me-if-i-wanted-to-take-a-pic/,https://i1.wp.com/evobsession.com/wp-content/uploads/2018/05/Elon-Musk-Tesla-Bankwupt.jpg,by Johnna Crider,Image not found,EV Obsession
2020-01-13 00:00:00,Guy Vandalizes A Tesla With His Watch In His Mouth,Guy Vandalizes A Tesla With His Watch In His Mouth,https://evobsession.com/guy-vandalizes-a-tesla-with-his-watch-in-his-mouth/,https://i0.wp.com/evobsession.com/wp-content/uploads/2020/01/Tesla-Model-3-vandal-Sentry-Mode.png,by Johnna Crider,Image not found,EV Obsession
2020-01-08 00:00:00,Tesla Set New Sales Records in 5 out of 6 Last Quarters,Tesla Set New Sales Records in 5 out of 6 Last Quarters,https://evobsession.com/tesla-set-new-sales-records-in-5-out-of-6-last-quarters/,https://i2.wp.com/evobsession.com/wp-content/uploads/2020/01/Tesla-vehicle-sales-quarterly-deliveries-Q4-2019.png,by Johnna Crider,Image not found,EV Obsession
2019-12-23 00:00:00,What Did The NTSB Really Say About That 2018 Tesla Crash?,What Did The NTSB Really Say About That 2018 Tesla Crash?,https://evobsession.com/what-did-the-ntsb-really-say-about-that-2018-tesla-crash/,https://i2.wp.com/evobsession.com/wp-content/uploads/2019/12/Screen-Shot-2019-12-23-at-10.23.49-PM.png,by Johnna Crider,Image not found,EV Obsession
2019-12-22 00:00:00,Tesla Radar Sees A Phantom,Tesla Radar Sees A Phantom,https://evobsession.com/tesla-radar-sees-a-phantom/,https://i0.wp.com/evobsession.com/wp-content/uploads/2019/12/Screen-Shot-2019-12-22-at-12.08.02-AM.png,by Johnna Crider,Image not found,EV Obsession
2019-12-19 00:00:00,"EV Efficiency, One-Pedal Driving, & Tesla Model 3 Hold Mode (Video)","EV Efficiency, One-Pedal Driving, & Tesla Model 3 Hold Mode (Video)",https://evobsession.com/ev-efficiency-one-pedal-driving-tesla-model-3-hold-mode-video/,https://i1.wp.com/evobsession.com/wp-content/uploads/2019/12/Misty-Mountain-3s-Tesla-Model-3-BMW-i-3-Cynthia-Shahan-1-scaled-1.jpg,by Cynthia Shahan,Image not found,EV Obsession
2019-12-17 00:00:00,Mini Tesla Cybertruck & More,Mini Tesla Cybertruck & More,https://evobsession.com/tesla-mini-cybertruck-more/,https://i0.wp.com/evobsession.com/wp-content/uploads/2019/12/Screen-Shot-2019-12-17-at-10.53.42-PM.png,by Johnna Crider,Image not found,EV Obsession
2019-12-16 00:00:00,The Cybertruck Doesn’t Need Side View Mirrors,The Cybertruck Doesn’t Need Side View Mirrors,https://evobsession.com/the-cybertruck-doesnt-need-side-view-mirrors/,https://i1.wp.com/evobsession.com/wp-content/uploads/2019/11/Cybertruck-2.png,by Johnna Crider,Image not found,EV Obsession
2019-12-16 00:00:00,Work Truck Hits A Tesla Model 3 & Flees — Caught On Camera,Work Truck Hits A Tesla Model 3 & Flees — Caught On Camera,https://evobsession.com/work-truck-hits-a-tesla-model-3-flees-caught-on-camera/,https://i0.wp.com/evobsession.com/wp-content/uploads/2019/12/Screen-Shot-2019-12-16-at-2.14.35-PM.png,by Johnna Crider,Image not found,EV Obsession
