date,title,short_description,article_link,image,byline,alt,outlet
2019-12-21 00:00:00,Eight new electric vehicle models set to join Australia market in 2020,"At least eight new electric vehicle models will hit Australian shores in 2020, opening up further choice for drivers wanting to reduce private transport emissions or simply have the latest in automotive technology. ",https://reneweconomy.com.au/eight-new-electric-vehicle-models-set-to-join-australia-market-in-2020/,https://reneweconomy.com.au/wp-content/uploads/2019/12/kona-electric-harbour-bridge.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-12-21 00:00:00,Telsa Models X and 3 ranked among Australia’s Top 3 safest cars for 2019," Two of out three of Australia’s independently ranked safest cars are electric vehicles, and both of those are Teslas.",https://reneweconomy.com.au/telsa-models-x-and-3-ranked-among-australias-top-3-safest-cars-for-2019/,https://reneweconomy.com.au/wp-content/uploads/2019/12/Tesla-crash-shot-800x450-300x169.jpg,Sophie Vorrath,Post Image,RenewEconomy
2019-12-17 00:00:00,Macquarie researchers develop device to turn electric vehicles into EV chargers, New device developed by researchers at Australia’s Macquarie University aims to tackle problem of what to do if faced with flat electric vehicle (EV) battery.,https://reneweconomy.com.au/macquarie-researchers-develop-device-to-turn-electric-vehicles-into-ev-chargers-57450/,https://reneweconomy.com.au/wp-content/uploads/2019/12/mitsu-outlander-PHEV006-1-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-12-17 00:00:00,Lithium Australia targets battery storage market after investment by New York fund, Lithium Australia lands NY investment fund backing for plans to expand into battery storage market.,https://reneweconomy.com.au/lithium-australia-targets-battery-storage-market-after-investment-by-new-york-fund-87686/,https://reneweconomy.com.au/wp-content/uploads/2019/12/batteries-lithium-ion-optimised-300x169.jpg,Michael Mazengarb,Post Image,RenewEconomy
2019-12-17 00:00:00,Australia start-up designs solar car port fit for Tesla Cybertruck, Innovative Australian clean energy building startup Iron Matrix designs solar-panelled Cybertruck carport using patented solar construction method to enhance off grid living.,https://reneweconomy.com.au/australia-start-up-designs-solar-car-port-fit-for-tesla-cybertruck-38782/,https://reneweconomy.com.au/wp-content/uploads/2019/12/A8EF618D-19E9-450A-B68C-853851A8C244-1080x675.png-300x188.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-12-16 00:00:00,Is a diesel cleaner than an electric car in Australia?," “My diesel dual cab is cleaner than electric vehicles”, said one of my drinking companions proudly. Is he right?",https://reneweconomy.com.au/is-a-diesel-cleaner-than-an-electric-car-in-australia-79046/,https://reneweconomy.com.au/wp-content/uploads/2019/12/fuel-emissions-standards-300x213.jpg,Gavin Womersley,Post Image,RenewEconomy
2019-12-13 00:00:00,"The Driven Podcast: EVs, range anxiety and fuel security", EVs are an obvious solution for Australia’s precarious fuel security and its dependence on fuel imports. Former RAAF deputy chief John Blackburn explains why.,https://reneweconomy.com.au/the-driven-podcast-evs-range-anxiety-and-fuel-security-88433/,https://reneweconomy.com.au/wp-content/uploads/2019/12/file-20191010-188823-16j0ksr-300x148.jpg,Giles Parkinson,Post Image,RenewEconomy
2019-12-12 00:00:00,"Combining home solar, batteries and EVs will be better deal than solar alone by 2024"," IEEFA report finds with “modest” suite of EV incentives, payback for rooftop PV, a home battery and electric vehicle falls to just five years today, and zero by 2030.",https://reneweconomy.com.au/combining-home-solar-batteries-and-evs-will-be-better-deal-than-solar-alone-by-2024-2024/,https://reneweconomy.com.au/wp-content/uploads/2019/12/kona-paul-charge-300x181.jpg,Sophie Vorrath,Post Image,RenewEconomy
2019-12-12 00:00:00,"Why the Cybertruck “far surpasses” other utes, and will maintain its value"," The Tesla Cybertruck beats other utility trucks such as the Ford F-150 on value and could maintain its value far beyond competitors, new analysis suggests.",https://reneweconomy.com.au/why-the-cybertruck-far-surpasses-other-utes-and-will-maintain-its-value-78263/,https://reneweconomy.com.au/wp-content/uploads/2019/11/cybrtruck-vs-f-150-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-12-12 00:00:00,Cannon-Brookes says Zoox “robot” cars will be on the road within two years," Mike Cannon-Brookes says first Zoox ""robot cars"" should be on the road within two years, and may re-define our thinking about road transport.",https://reneweconomy.com.au/cannon-brookes-says-zoox-robot-cars-will-be-on-the-road-within-two-years-30113/,https://reneweconomy.com.au/wp-content/uploads/2019/12/Mike-Cannon-Brookes-2-Smart-Energy-Summit-optimised-300x202.jpg,Giles Parkinson,Post Image,RenewEconomy
2019-12-12 00:00:00,My electric motorcycle mea culpa," After seven years as an electric bike owner, I went out and bought a second hand petrol machine. Then I remembered there are 26 times as many parts in...",https://reneweconomy.com.au/my-electric-motorcycle-mea-culpa-74298/,https://reneweconomy.com.au/wp-content/uploads/2019/12/zero-srf-2-800x532-300x200.jpg,Nigel Morris,Post Image,RenewEconomy
2019-12-11 00:00:00,"Are electric vehicles cleaner than petrol, diesel when run from coal grid?",A particular point of misinformation commonly bandied about by electric vehicle naysayers is that there is no point investing in an EV to reduce carbon emissions if you charge it off a coal-powered grid. ,https://reneweconomy.com.au/are-electric-vehicles-cleaner-than-petrol-diesel-when-run-from-coal-grid-57211/,https://reneweconomy.com.au/wp-content/uploads/2018/07/MN-EV-1024x683.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-12-11 00:00:00,Can we dig it? Battery metals market may be worth twice coal exports," If Australia catches 25% of the battery metals market, it could double the mining revenue it currently gets from coal exports.",https://reneweconomy.com.au/can-we-dig-it-battery-metals-market-may-be-worth-twice-coal-exports-24151/,https://reneweconomy.com.au/wp-content/uploads/2019/11/EV-car-lithium-copy-300x221.jpg,Tosh Szatow,Post Image,RenewEconomy
2019-12-07 00:00:00,Mercedes-Benz EQC 400 test drive: No holding back," The Mercedes-Benz electric EQC 400 delights on a test drive day, with plenty of zip, tech and comfort. Just don't go too heavy on the pedal.",https://reneweconomy.com.au/mercedes-benz-eqc-400-test-drive-no-holding-back-11114/,https://reneweconomy.com.au/wp-content/uploads/2019/12/eqc-400-20191202_122252-800x450-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-12-05 00:00:00,"New passenger vehicle sales plunge more than 20pct, still no talk of EVs"," New vehicle sales decline in Australia now in 20th month and getting deeper, but still no acknowledgment from the industry about role that electric vehicle buying intentions may be...",https://reneweconomy.com.au/new-passenger-vehicle-sales-plunge-more-than-20pct-still-no-talk-of-evs-16582/,https://reneweconomy.com.au/wp-content/uploads/2019/02/latest-tesla-model-3-tesla-model-3-august-300x169.jpg,Giles Parkinson,Post Image,RenewEconomy
2019-11-29 00:00:00,"Interest in Tesla Cybertruck goes wild with over 250,000 deposits"," Interest in Elon Musk's radical and polarising Cybertruck continues with 250,000 pre-orders now taken for the all-electric ute.",https://reneweconomy.com.au/interest-in-tesla-cybertruck-goes-wild-with-over-250000-deposits-16601/,https://reneweconomy.com.au/wp-content/uploads/2019/11/cybertruck-electric-ute-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-11-26 00:00:00,The death of range anxiety in electric vehicles, Running out of charge in an electric vehicle is no more likely than running out of petrol or diesel.,https://reneweconomy.com.au/the-death-of-range-anxiety-in-electric-vehicles-29831/,https://reneweconomy.com.au/wp-content/uploads/2019/11/Charging-Jugiong-copy-1600x900-300x169.jpg,Bryce Gaton,Post Image,RenewEconomy
2019-11-25 00:00:00,"Musk says Tesla takes 200,000 orders for polarising Cybertruck"," Elon Musk says 200,000 orders have been taken since unveiling of the polarising Cybertruck late last week",https://reneweconomy.com.au/musk-says-tesla-takes-200000-orders-for-polarising-cybertruck-73652/,https://reneweconomy.com.au/wp-content/uploads/2019/11/cybertruck_08_Desktop-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-11-24 00:00:00,"Elon Musk’s Cybertruck stuns, divides Tesla fans, same price as Model 3"," “It doesn’t look like anything else” – Musk says as he unveils his Cybertruck, or Tesla ute, to the applause and dismay of Tesla fans.",https://reneweconomy.com.au/elon-musks-cybertruck-stuns-divides-tesla-fans-same-price-as-model-3-98852/,https://reneweconomy.com.au/wp-content/uploads/2019/11/cybertruck-300x163.jpg,Sophie Vorrath,Post Image,RenewEconomy
2019-11-23 00:00:00,IPA wants to hit EVs with road tax “before they appear in every driveway”," Infrastructure think tank demands immediate introduction of a 4c/km road use fee for EVs - but not hybrids - ""before there is an EV in every driveway""",https://reneweconomy.com.au/ipa-wants-to-hit-evs-with-road-tax-before-they-appear-in-every-driveway-67555/,https://reneweconomy.com.au/wp-content/uploads/2019/08/kona-electric-delta-charger-300x169.jpg,Giles Parkinson,Post Image,RenewEconomy
2019-11-23 00:00:00,Electric car ultra rapid chargers arrive in heart of brown coal country," A row of electric car chargers in the La Trobe Valley will soon go online, but there are still hurdles to jump.",https://reneweconomy.com.au/electric-car-ultra-rapid-chargers-arrive-in-heart-of-brown-coal-country-93593/,https://reneweconomy.com.au/wp-content/uploads/2019/11/moe-chargefox-20191117_144852_resized-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-11-18 00:00:00,"Fast and fun: Ford debuts first electric vehicle, Mustang Mach E"," It's fast, fun and now here: Ford debut its first electric vehicle, the Mustang Mach E, a car it says offer freedom from petrol pumps, and oil changes.",https://reneweconomy.com.au/fast-and-fun-ford-debuts-first-electric-vehicle-mustang-mach-e-85707/,https://reneweconomy.com.au/wp-content/uploads/2019/11/21_FRD_MCH_48111-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-11-13 00:00:00,"Evie Networks opens its first ultra-fast charging station, powered by renewables","Evie Networks has opened the first of its planned 42 ultra-fast electric vehicle charging stations in Australia, with a ceremony at the Coochin Creek location between Brisbane and the Sunshine Coast that will be powered by renewable energy. ",https://reneweconomy.com.au/evie-networks-opens-its-first-ultra-fast-charging-station-powered-by-renewables-41616/,https://reneweconomy.com.au/wp-content/uploads/2019/11/evie-ultra-fast-Qld-800x513.jpg,Giles Parkinson,Post Image,RenewEconomy
2019-11-13 00:00:00,ACT introduces first electric bus on path to zero transport emissions, All-electric Yutong E12 bus to begin ferrying passengers around Canberra as the ACT government enacts plan to transition to 100% zero emissions bus fleet by 2040.,https://reneweconomy.com.au/act-introduces-first-electric-bus-on-path-to-zero-transport-emissions-72279/,https://reneweconomy.com.au/wp-content/uploads/2019/11/barr-steel-act-electric-bus-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-11-11 00:00:00,"Qantas aims for zero net emissions by 2050, cap emissions at 2020 levels", Qantas will match carbon offsets purchased by customers as part of a plan by the airline to achieve zero net emissions by 2050. But no talk of electric planes.,https://reneweconomy.com.au/qantas-aims-for-zero-net-emissions-by-2050-cap-emissions-at-2020-levels-75236/,https://reneweconomy.com.au/wp-content/uploads/2019/11/Qantas-Airplane-engine-emissions-optimised-300x169.jpg,Michael Mazengarb,Post Image,RenewEconomy
2019-11-11 00:00:00,Electric vehicle sales surge in Europe by 50 per cent, Electric vehicle sales on the up in Europe as diesel vehicle sales continue downward trend according to data issued by ACEA.,https://reneweconomy.com.au/electric-vehicle-sales-surge-in-europe-by-50-per-cent-72835/,https://reneweconomy.com.au/wp-content/uploads/2019/02/highRes_bmw-i3-94ah-05-2016-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-11-08 00:00:00,"VW rolls first electric ID.3 off new production line, looks to global domination"," New era begins for Volkswagen as first all-electric ID.3 hatchback rolls off factory floor at Zwickau on same day as Germany hikes electric vehicle subsidies, and the carmaker looks...",https://reneweconomy.com.au/vw-rolls-first-electric-id-3-off-new-production-line-looks-to-global-domination-58104/,https://reneweconomy.com.au/wp-content/uploads/2019/11/first-id.3-DB2019NR01103_overfull-1120x630-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-11-07 00:00:00,What will it take for Australian auto industry to admit EVs affecting fossil car sales?," Slump in new sales of petrol and diesel vehicles in Australia continues, with sales down again in October with the exception of hybrid and electric vehicles, which have risen...",https://reneweconomy.com.au/what-will-it-take-for-australian-auto-industry-to-admit-evs-affecting-fossil-car-sales-98282/,https://reneweconomy.com.au/wp-content/uploads/2019/11/file-20171026-13327-1i52oqe-300x200.jpg,Giles Parkinson,Post Image,RenewEconomy
2019-11-07 00:00:00,Uni of Adelaide battery technology could slash electric vehicle cost, New battery technology that could significantly reduce the price of electric cars and home battery systems takes major step towards commercialisation.,https://reneweconomy.com.au/uni-of-adelaide-battery-technology-could-slash-electric-vehicle-cost-23954/,https://reneweconomy.com.au/wp-content/uploads/2019/02/ev-charging-3322152_1920-300x169.jpg,Andrew Spence,Post Image,RenewEconomy
2019-11-06 00:00:00,Shell Recharge expands into US with EV chargers from Australia’s Tritium," British-Dutch oil major Shell expands into US, installing first electric vehicle chargers under Shell Recharge brand at Boston’s Logan airport – choosing designed-in-Australia chargers from Tritium.",https://reneweconomy.com.au/shell-recharge-expands-into-us-with-ev-chargers-from-australias-tritium-86667/,https://reneweconomy.com.au/wp-content/uploads/2019/11/shell-recharge-boston-airport-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-11-06 00:00:00,The big lap: Electric car road trips turn fuel dollars into tourism dollars," As more people do road trips like the ""big lap"" in electric vehicles, the more likely that savings from fossil fuel dollars will be injected into the local economy.",https://reneweconomy.com.au/the-big-lap-electric-car-road-trips-turn-fuel-dollars-into-tourism-dollars-21522/,https://reneweconomy.com.au/wp-content/uploads/2019/11/rob-dean-australia-road-trip-guide-3-300x169.jpg,Robert Dean,Post Image,RenewEconomy
2019-11-02 00:00:00,Australia’s surging diesel emissions from cars and utes cancel out wind and solar gains, Growing use of diesel in utes and cars has offset nearly all the recent emissions gains from wind and solar in the main grid.,https://reneweconomy.com.au/australias-surging-diesel-emissions-from-cars-and-utes-cancel-out-wind-and-solar-gains-90719/,https://reneweconomy.com.au/wp-content/uploads/2019/11/diesel-utes-300x192.jpg,Giles Parkinson,Post Image,RenewEconomy
2019-11-01 00:00:00,Lightyear One solar car beats Tesla Model 3 for aerodynamics," Dutch solar carmaker Lightyear claims record score for aerodynamics for 5-seater Lightyear One while undergoing wind tunnel tests in Turin, Italy.",https://reneweconomy.com.au/lightyear-one-solar-car-beats-tesla-model-3-for-aerodynamics-94826/,https://reneweconomy.com.au/wp-content/uploads/2019/10/lightyear-one-solar-car-aerodynamic-record-2-800x450-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-10-31 00:00:00,"Electric vehicles will drive 20-fold lift in battery storage capacity by 2030, says AGL","AGL says it anticipates a 20-fold increase in behind the meter battery storage capacity in Australia over the next 10 years, driven by the influx of electric vehicles which it says will account for half of all new car sales by 2030. And it intends to tailor its business accordingly. ",https://reneweconomy.com.au/electric-vehicles-will-drive-20-fold-lift-in-battery-storage-capacity-by-2030-says-agl-85589/,https://reneweconomy.com.au/wp-content/uploads/2019/07/kona-electric-vs-model-3-copy.jpg,Giles Parkinson,Post Image,RenewEconomy
2019-10-30 00:00:00,Australia’s emerging issue of congestion at electric vehicle charging stations," Influx of new EVs, longer range and more road trips means a lot of people now seem to be turning up at the same charger at the same time.",https://reneweconomy.com.au/australias-emerging-issue-of-congestion-at-electric-vehicle-charging-stations-94544/,https://reneweconomy.com.au/wp-content/uploads/2019/10/IMG20191006130955-copy-1600x800-300x150.jpg,Dave Southgate,Post Image,RenewEconomy
2019-10-29 00:00:00,Evie Networks reveals locations for Australian ultra-fast EV charging network," A full list of locations for Evie Networks ultra-fast charging network includes sites on edges of cities and stretches from northern Queensland to Adelaide, Tasmania and Perth.",https://reneweconomy.com.au/evie-networks-reveals-locations-for-australian-ultra-fast-ev-charging-network-39750/,https://reneweconomy.com.au/wp-content/uploads/2019/10/evie-networks-aeva-2019-800x450-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-10-29 00:00:00,"NSW unveils plan to switch Sydney 8,000-strong bus fleet to all-electric", NSW Government seeks proposals to shift entire Sydney bus fleet to all-electric vehicles.,https://reneweconomy.com.au/nsw-unveils-plan-to-switch-sydney-8000-strong-bus-fleet-to-all-electric-44932/,https://reneweconomy.com.au/wp-content/uploads/2019/10/Interior-scenes-of-electric-buses-optimised-800x451-300x169.jpg,Michael Mazengarb,Post Image,RenewEconomy
2019-10-29 00:00:00,Transport minister avoids EVs in rambling speech on driverless cars and grey nomads," Transport minister Michael McCormack misses the point about autonomous cars, saying only they might be good for grey nomads, and making no mention of electric vehicles.",https://reneweconomy.com.au/transport-minister-avoids-evs-in-rambling-speech-on-driverless-cars-and-grey-nomads-48442/,https://reneweconomy.com.au/wp-content/uploads/2019/10/michael-mccormack-transport-driverless-autonomous-vehicles-nationals-optimised-300x169.jpg,Michael Mazengarb,Post Image,RenewEconomy
2019-10-29 00:00:00,The Driven Podcast: Across Australia by solar car, UNSW students Matthew Holohan and Jed Cruickshank describe the challenge of driving a solar-powered electric car across Australia.,https://reneweconomy.com.au/the-driven-podcast-across-australia-by-solar-car-90289/,https://reneweconomy.com.au/wp-content/uploads/2019/08/UNSWHondaSolarCar-300x168.jpg,Giles Parkinson,Post Image,RenewEconomy
2019-10-25 00:00:00,Mazda’s first all electric car combines eco kudos with sporty style," With an environmentally conscious interior design and sporty exterior, Mazda has created a vehicle that should fit happily within the compact SUV market.",https://reneweconomy.com.au/mazdas-first-all-electric-car-combines-eco-kudos-with-sporty-style-66820/,https://reneweconomy.com.au/wp-content/uploads/2019/10/MAZDA-MX-30-European-specification-6-1024x491-300x169.jpg,Bridie Schmidt,Post Image,RenewEconomy
2019-10-25 00:00:00,The Verdict: Will driving electric vehicles ruin your long weekend?, My final message is to the federal Liberal Party: “You’ve Scott to be kidding: EVs are perfect for the long weekend’.,https://reneweconomy.com.au/the-verdict-will-driving-electric-vehicles-ruin-your-long-weekend-84216/,https://reneweconomy.com.au/wp-content/uploads/2019/10/bryce-roadtrip-4-300x169.jpg,Bryce Gaton,Post Image,RenewEconomy
