date,title,short_description,article_link,image,byline,alt,outlet
2019-12-26 08:12:00,See what’s underneath and inside the Porsche Taycan,"The Porsche Taycan has just hit the roads in the US, and Porsche Club of America had a chance to do a video walkaround of Porsche’s new electric sports car.  The video features Vu Nguyen, Executive Director of the Porsche Club of America interviewing Lukas Kraemer, Porsche’s Complete Vehicle Manager for Taycan.The video covers a lot of topics and has some interesting insights and specs about the car, which we’ll get to point by point. ",https://electrek.co/2019/12/26/see-whats-underneath-and-inside-the-porsche-taycan/,https://electrek.co/wp-content/uploads/sites/3/2019/12/15f9b8f9-8424-4f16-bf84-a9c65c938b4a-e1577306439769.jpg?quality=82&strip=all&w=1080,Jameson Dow,Image not found,Electrek
2019-12-21 14:41:00,First US Porsche Taycan owner says car’s EPA range is highly conservative,"Porsche has started deliveries of the Taycan in the US, just in time for Christmas. And the first US Taycan owner has given his first “drive report,” and it’s pretty much all positive.Of particular note, he states that the car’s 201-mile estimated EPA range, and commensurate low efficiency, is “conservative.” ",https://electrek.co/2019/12/21/first-us-porsche-taycan-owner-says-cars-epa-range-is-highly-conservative/,https://electrek.co/wp-content/uploads/sites/3/2019/10/479883_taycan_4s_2019_porsche_ag_1-e1571041710361.jpeg?quality=82&strip=all&w=1600,Jameson Dow,Image not found,Electrek
2019-12-14 05:36:00,"Teslas charge faster than Taycan, due to Porsche’s low efficiency","One of the standout features of the Porsche Taycan is its incredible promised 350kW charge rate.  Tesla has updated its Model 3 to have a 250kW charge rate, which is available on Tesla’s V3 superchargers.At first glance, this looks like a loss for Tesla.  But it’s not.  Because of Porsche’s low efficiency, it turns out that almost every Tesla adds more range per minute at peak charge rate than the Taycan does – and some by a significant margin. ",https://electrek.co/2019/12/14/tesla-charges-faster-than-taycan-porsche-efficiency/,https://electrek.co/wp-content/uploads/sites/3/2018/10/Porsche-Taycan-Tesla-Model-S-e1540318216711.jpg?quality=82&strip=all&w=1600,Jameson Dow,Image not found,Electrek
2019-12-11 13:55:00,"Porsche Taycan Turbo only gets 201-mile EPA range, efficiency disappoints",The EPA released the official range of the Porsche Taycan Turbo and it only gets 201 miles of EPA-rated range – a lot less than the 280 miles of range originally announced. ,https://electrek.co/2019/12/11/porsche-taycan-turbo-201-mile-epa-range/,https://electrek.co/wp-content/uploads/sites/3/2019/09/Porsche-Taycan-e1567603729713.jpg?quality=82&strip=all&w=1600,Fred Lambert,Image not found,Electrek
2019-12-11 10:41:00,"Porsche has already turned 10,000 Taycan reservations into orders","Porsche had been accumulating a lot of pre-orders for the Taycan even before the unveiling with the specs and pricing announcement, but now the automaker confirms that it has already turned 10,000 Taycan reservations into orders. ",https://electrek.co/2019/12/11/porsche-taycan-reservations-into-orders/,https://electrek.co/wp-content/uploads/sites/3/2019/10/479883_taycan_4s_2019_porsche_ag_1-e1571041710361.jpeg?quality=82&strip=all&w=1600,Fred Lambert,Image not found,Electrek
2019-12-05 04:30:00,Porsche testing 4-motor electric SUV drivetrain — the next Macan?,"Porsche Engineering has developed a torque control system for a 4-motor electric vehicle drivetrain that lets electric SUVs handle “with the agility of a sports car” in even the most difficult conditions.Porsche hasn’t committed to putting this drivetrain into any specific cars, but by announcing the project on their newsroom, we can speculate that there might be something on the horizon. We learned earlier this year that the next Macan will be electric, and this would pair nicely with that. ",https://electrek.co/2019/12/05/porsche-testing-4-motor-electric-suv-drivetrain-next-macan/,https://electrek.co/wp-content/uploads/sites/3/2019/12/S19_6049_fine-e1575512793685.jpg?quality=82&strip=all&w=1600,Jameson Dow,Image not found,Electrek
2019-12-04 07:43:00,Porsche Taycan achieves 5-star safety rating from Euro NCAP,"Euro NCAP announced today that the Porsche Taycan, the German automaker’s first all-electric car, has achieved a 5-star safety rating in their crash tests. ",https://electrek.co/2019/12/04/porsche-taycan-5-star-safety-rating-euro-ncap/,https://electrek.co/wp-content/uploads/sites/3/2019/12/POrsche-Taycan-crash-tests.jpg?quality=82&strip=all&w=1600,Fred Lambert,Image not found,Electrek
2019-12-03 14:23:00,"Porsche rents Tesla Model 3 to test out latest Autopilot, comes out impressed","Porsche is really interested in Tesla’s latest V10 software update, and especially the new Smart Summon feature. Electrek has learned that Porsche sent engineers to the US to rent a Tesla Model 3 and test out Autopilot under the latest software update.They apparently came out impressed. ",https://electrek.co/2019/12/03/porsche-rents-tesla-model-3-test-autopilot-impressed/,https://electrek.co/wp-content/uploads/sites/3/2019/12/Tesla-Model-3-Turo.jpg?quality=82&strip=all&w=1600,Fred Lambert,Image not found,Electrek
2019-11-21 16:42:00,Audi and Porsche are happily cannibalizing their own ICE sales for new EVs,"In conversations with Audi and Porsche at the LA Auto Show, a trend emerged: both companies seem quite pleased that so many of their EV sales interest is coming from their own existing, internal combustion customers. ",https://electrek.co/2019/11/21/audi-and-porsche-are-happily-cannibalizing-their-own-ice-sales-for-new-evs/,https://electrek.co/wp-content/uploads/sites/3/2019/11/Screen-Shot-2019-11-21-at-1.18.05-PM-e1574371151277.jpg?quality=82&strip=all&w=1600,Jameson Dow,Image not found,Electrek
2019-11-20 07:38:00,Porsche announces Taycan electric car production delays,"Porsche is finding out that it is quite difficult to produce an all-electric vehicle. The German automaker announced that the Taycan, its first all-electric car, is facing some production delays. ",https://electrek.co/2019/11/20/porsche-taycan-electric-car-production-delays/,https://electrek.co/wp-content/uploads/sites/3/2019/09/Porsche-Taycan-e1567603729713.jpg?quality=82&strip=all&w=1600,Fred Lambert,Image not found,Electrek
2019-11-20 06:30:00,"Formula E’s 2019-20 season starts Friday, with new Porsche and Mercedes teams","The new season of Formula E, the world’s top electric car racing series, starts on Friday with a doubleheader in Diriyah, Saudi Arabia. Notably, two new teams are joining from brands with classic motorsport ties: Porsche and Mercedes-Benz.The last Formula E season was the most exciting one yet, so tune in this weekend to see if they can manage to top it. There will be two races this weekend, on Friday and Saturday at 8 a.m. PST/11 a.m. EST/4 p.m. UTC/7 p.m. local Diriyah time. ",https://electrek.co/2019/11/20/formula-e-2019-2020-season-porsche-mercedes-teams/,https://electrek.co/wp-content/uploads/sites/3/2019/11/Screen-Shot-2019-11-18-at-10.47.40-AM-e1574102972587.jpg?quality=82&strip=all&w=1600,Jameson Dow,Image not found,Electrek
2019-11-04 15:52:00,"Tesla achieves record time at Nürburgring, beats Porsche Taycan, but likely still unofficial","Tesla has reportedly achieved another record time at Nürburgring race track with its Model S “Plaid” prototypes, beating the record of the Porsche Taycan, but it’s likely still unofficial. ",https://electrek.co/2019/11/04/tesla-record-time-nurburgring-beats-porsche-taycan-unofficial/,https://electrek.co/wp-content/uploads/sites/3/2019/11/Tesla-Model-S-plaid-prototype-record.jpg,Fred Lambert,Image not found,Electrek
2019-11-01 11:36:00,"Podcast: Tesla Model S vs Porsche Taycan, new Model X seats, Mini Cooper electric, and more","This week on the Electrek Podcast, we discuss the most popular news in the world of sustainable transport and energy, including increasing Tesla Model S vs Porsche Taycan comparison, new Model X seats, the Mini Cooper electric’s price, and more.https://electrek.co/wp-content/uploads/sites/3/2019/11/Electrek-11-01-2019.mp3 ",https://electrek.co/2019/11/01/podcast-tesla-model-s-vs-porsche-taycan-new-model-x-seats-mini-cooper-electric/,https://electrek.co/wp-content/uploads/sites/3/2017/12/business_card-1.jpg,Fred Lambert,Image not found,Electrek
2019-10-31 13:05:00,"Tesla is increasing Model S peak power by 50hp through software, Musk says will beat Porsche Taycan","Tesla’s upcoming power increase through software update is going to add 50 horsepower to the Model S’ peak output, according to CEO Elon Musk who says that the Model S Raven will now beat the Porsche Taycan Turbo S on the quarter-mile. ",https://electrek.co/2019/10/31/tesla-model-s-peak-power-increase-50hp-software-musk-beat-porsche-taycan/,https://electrek.co/wp-content/uploads/sites/3/2019/04/Model-S-hero-e1556066115259.jpg,Fred Lambert,Image not found,Electrek
2019-10-30 08:34:00,Tesla Model S ‘Raven’ put against Porsche Taycan Turbo S in fairer review — both are great,"We previously reported on a direct comparison between the Tesla Model S and the new Porsche Taycan, but the review had its issues.Now a Tesla Model S ‘Raven’ vs Porsche Taycan Turbo S gives a fairer look at the two top-of-the-line electric sedans and it concludes both are great cars. ",https://electrek.co/2019/10/30/tesla-model-s-raven-porsche-taycan-turbo-s-fairer-review/,https://electrek.co/wp-content/uploads/sites/3/2019/10/Screen-Shot-2019-10-30-at-1.11.50-PM.jpg,Fred Lambert,Image not found,Electrek
2019-10-28 07:35:00,Watch Porsche test Taycan Cross Turismo prototype on racetrack,"Porsche just launched the Taycan, its first all-electric car, but it’s also about to follow it up with a “Cross Turismo” wagon version of the car, and a prototype was recently spotted on the racetrack. expand full story",https://electrek.co/2019/10/28/porsche-taycan-cross-turismo-prototype-racetrack/,https://electrek.co/wp-content/uploads/sites/3/2019/10/Taycan-Cross-Turismo.jpg,Fred Lambert,Image not found,Electrek
2019-10-16 06:11:00,Porsche Taycan beats Tesla Model S in drag race and handling comparison test with caveats,"A German TV show managed to get their hands on both a Porsche Taycan Turbo S and a Tesla Model S P100D at the same time and they did some comparison tests.
However, there are some caveats to the tests. expand full story",https://electrek.co/2019/10/16/porsche-taycan-beats-tesla-model-s-drag-race-handling-comparison-test/,https://electrek.co/wp-content/uploads/sites/3/2019/10/Tesla-Model-S-vs-Porsche-Taycan.jpg,Fred Lambert,Image not found,Electrek
2019-10-14 04:33:00,"Porsche unveils new entry-level Taycan 4S with smaller battery pack for $104,000","Porsche has unveiled a new entry-level version of the Taycan, the Taycan 4S, with a new smaller battery pack option and less power. expand full story",https://electrek.co/2019/10/14/porsche-taycan-4s-new-entry-level-battery-pack/,https://electrek.co/wp-content/uploads/sites/3/2019/10/479883_taycan_4s_2019_porsche_ag_1-e1571041710361.jpeg,Fred Lambert,Image not found,Electrek
2019-10-10 09:58:00,Porsche is building an electric vertical take-off and landing aircraft (eVTOL) with Boeing,Porsche is partnering with Boeing to build an electric vertical take-off and landing aircraft (eVTOL) to create a premium urban air mobility service. expand full story,https://electrek.co/2019/10/10/porsche-electric-vertical-take-off-and-landing-aircraft-evtol-boeing/,https://electrek.co/wp-content/uploads/sites/3/2019/10/evtol-porsche_and_boeing_2019_porsche_ag-e1570714477358.jpg,Fred Lambert,Image not found,Electrek
2019-10-08 03:56:00,"Porsche doesn’t like ‘Tesla comparison’, says wasn’t a factor despite benchmarking Model S","Porsche CEO Oliver Blume says that he doesn’t like the “Tesla comparison,” and that Model S wasn’t a factor in the development of the Taycan, despite the fact that they benchmarked it against Tesla’s flagship sedan. expand full story",https://electrek.co/2019/10/08/porsche-tesla-comparison-benchmarking-model-s/,https://electrek.co/wp-content/uploads/sites/3/2018/10/Porsche-Taycan-Tesla-Model-S-e1540318216711.jpg,Fred Lambert,Image not found,Electrek
2019-10-04 14:33:00,Audi teases electric 4-dour coupé based new electric platform built with Porsche,"Audi released a bunch of pictures teasing a new electric 4-dour coupé, which is expected to be based on a new electric platform built with Porsche. expand full story",https://electrek.co/2019/10/04/audi-electric-4-dour-coupe-electric-ppe-platform-porsche/,https://electrek.co/wp-content/uploads/sites/3/2019/10/Audi-electric-sedan-teaser-hero-e1570212893712.jpg,Fred Lambert,Image not found,Electrek
2019-10-03 09:46:00,Watch Porsche build a Taycan electric car from the ground up,Porsche has released raw footage of a Taycan electric car being built from the ground up in their factory in Zuffenhausen. expand full story,https://electrek.co/2019/10/03/porsche-taycan-electric-car-made-video/,https://electrek.co/wp-content/uploads/sites/3/2019/10/Porsche-Taycan-build.jpg,Fred Lambert,Image not found,Electrek
2019-10-02 14:18:00,"Review: rating OEM’s EV charging cords (Tesla, Audi get A’s; GM, Jaguar fail)","In this post, we review the portable EV charging cords that come standard with the following electric vehicles sold in North America: Tesla (all models), the Audi e-tron, the Nissan Leaf, the Jaguar I-Pace, the Porsche Taycan, the Chevy Bolt, the BMW i3, and Hyundai (all BEVs). This review is pretty wild; the specs (usefulness) of OEM standard charging cords are all over the place. Some car makers gave a ton of thought to this while others clearly gave none. That’s concerning, because “electricity is everywhere” is a major argument in favor of EV ownership, but that’s only meaningful if you can usefully tap the grid.",https://electrek.co/2019/10/02/review-rating-oems-ev-charging-cords-tesla-audi-get-as-gm-jaguar-fail/,https://electrek.co/wp-content/uploads/sites/3/2019/10/Audi-portable-charger-evse.jpg,Charles Benoit,Image not found,Electrek
2019-10-02 09:24:00,Porsche increases Taycan production capacity after seeing high demand,"Porsche announced that it is increasing the production capacity of the Taycan, its first all-electric car, after seeing high demand for the electric sports car. expand full story",https://electrek.co/2019/10/02/porsche-taycan-increase-production-high-demand/,https://electrek.co/wp-content/uploads/sites/3/2019/09/Porsche-Taycan-e1567603729713.jpg,Fred Lambert,Image not found,Electrek
2019-09-20 14:15:00,"Tesla Model S prototype breaks down, Porsche Taycan drives by, and TSLA shorts go crazy","A Porsche Taycan drove past a Tesla Model S prototype that broke down while testing on the Nurburgring racetrack, and the TSLA short community is going crazy over it.
You know you’re doing pretty well when your detractors have to grasp at irrelevant events like these to justify their views. expand full story",https://electrek.co/2019/09/20/tesla-model-s-prototype-breaks-down-porsche-taycan-tsla-short/,https://electrek.co/wp-content/uploads/sites/3/2019/09/Tesla-Model-S-plaid-broken-down-porsche-Taycan.jpg,Fred Lambert,Image not found,Electrek
2019-09-17 11:52:00,Porsche releases an ad for the Taycan: focuses on ‘electrifying the soul’,"The Porsche Taycan is out now, and the German automaker is serious about selling it. They released an ad for the electric car — focusing on “electrifying the soul.” expand full story",https://electrek.co/2019/09/17/porsche-taycan-ad-electrifying-soul/,https://electrek.co/wp-content/uploads/sites/3/2019/09/Porsche-taycan-ad.jpg,Fred Lambert,Image not found,Electrek
2019-09-17 06:18:00,"Tesla ‘Plaid’ Model S crushes Porsche Taycan’s Nürburgring time, witness says","Tesla’s testing of new Model S vehicles, including a 3-motor ‘Plaid’ Model S, continues at the Nürburgring racetrack and now a witness says that Tesla already crushed Porsche Taycan’s time. expand full story",https://electrek.co/2019/09/17/tesla-plaid-model-s-crushes-porsche-taycan-nurburgring-time/,https://electrek.co/wp-content/uploads/sites/3/2019/09/Tesla-Plad-Model-S.jpg,Fred Lambert,Image not found,Electrek
2019-09-16 13:02:00,Porsche Taycan configurator has a $500 option for… an mp3 file of motor noise,"The heavily anticipated Porsche Taycan was fully unveiled two weeks ago, with exciting performance and charging specs and quite a high price to boot. The car has been touted as the first real electric “sport sedan” challenger to Tesla from an established manufacturer, and has attracted a lot of attention and comparisons as a result.
The Taycan is a big departure for Porsche in that it’s their first EV, but there are definitely some ways it really feels like a Porsche. For example, the Taycan offers an insane amount of options — something Porsche is famous for. One of those options is Porsche’s “Electric Sport Sound,” a $500 option that adds fake, electric-like engine noises to the car.",https://electrek.co/2019/09/16/porsche-taycan-500-option-motor-noise/,https://electrek.co/wp-content/uploads/sites/3/2019/09/Porsche-Taycan-unveiling.jpg,Jameson Dow,Image not found,Electrek
2019-09-12 16:10:00,Porsche Taycan first car to charge at 270 kW on Electrify America’s network,"There’s been much debate about the Porsche Taycan’s charging capacity, but it has now become the first car to charge at 270 kW on Electrify America’s network. expand full story",https://electrek.co/2019/09/12/porsche-taycan-charge-270-kw-electrify-americas-network/,https://electrek.co/wp-content/uploads/sites/3/2019/09/Large-Electrify-America-s-Open-Network-of-Ultra-Fast-DC-Chargers-First-to-Charge-An-800-Volt-Electric-Vehicle-Battery-at-270-Kilowatts-347-1-e1568317400828.jpg,Fred Lambert,Image not found,Electrek
2019-09-06 15:37:00,"Podcast: Porsche Taycan, Tesla battery cell manufacturing, Ford F-150 electric, and more","This week on the Electrek Podcast, we discuss the most popular news in the world of sustainable transport and energy, including the launch of the new Porsche Taycan, Tesla moving into battery cell manufacturing, Ford F-150 electric pickup truck timeline, and more.

https://electrek.co/wp-content/uploads/sites/3/2019/09/Electrek-09-06-2019-auphonic.mp3",https://electrek.co/2019/09/06/podcast-porsche-taycan-tesla-battery-cell-manufacturing-ford-f150-electric/,https://electrek.co/wp-content/uploads/sites/3/2017/12/business_card-1.jpg,Fred Lambert,Image not found,Electrek
2019-09-06 08:49:00,Porsche increases its stake in electric supercar maker Rimac,"A year after first investing in the electric supercar maker, Porsche announces that it is increasing its stake in Rimac. expand full story",https://electrek.co/2019/09/06/porsche-increases-stake-electric-supercar-maker-rimac/,https://electrek.co/wp-content/uploads/sites/3/2018/03/c_two-rimac-torque-vectoring-e1520345910158.jpg,Fred Lambert,Image not found,Electrek
2019-09-06 06:32:00,Porsche Taycan production to start on September 9 at new factory,"After a launch earlier this week, Porsche confirmed that the production of the Taycan will start on September 9 at its new factory. expand full story",https://electrek.co/2019/09/06/porsche-taycan-production-september-9-new-factory/,https://electrek.co/wp-content/uploads/sites/3/2019/09/low_taycan_factory_zuffenhausen_2019_porsche_ag-1-1-e1567765076695.jpg,Fred Lambert,Image not found,Electrek
